Program started...
Building Faulty versions for project biojava
Building next faulty Version biojava-59 with 6 faults, 48 failures, 597 passing Test Cases and 2618 relevant methods.
Building next faulty Version biojava-60 with 6 faults, 21 failures, 616 passing Test Cases and 2166 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-6.xml
Building next faulty Version biojava-61 with 7 faults, 93 failures, 548 passing Test Cases and 3025 relevant methods.
Building next faulty Version biojava-62 with 7 faults, 28 failures, 610 passing Test Cases and 2312 relevant methods.
Building next faulty Version biojava-63 with 7 faults, 39 failures, 642 passing Test Cases and 2808 relevant methods.
Building next faulty Version biojava-64 with 7 faults, 52 failures, 635 passing Test Cases and 2965 relevant methods.
Building next faulty Version biojava-65 with 7 faults, 22 failures, 615 passing Test Cases and 2229 relevant methods.
Building next faulty Version biojava-66 with 7 faults, 93 failures, 545 passing Test Cases and 2807 relevant methods.
Building next faulty Version biojava-67 with 7 faults, 81 failures, 559 passing Test Cases and 2749 relevant methods.
Building next faulty Version biojava-68 with 7 faults, 25 failures, 621 passing Test Cases and 2083 relevant methods.
Building next faulty Version biojava-69 with 7 faults, 24 failures, 616 passing Test Cases and 2235 relevant methods.
Building next faulty Version biojava-70 with 7 faults, 23 failures, 615 passing Test Cases and 2178 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-7.xml
Building next faulty Version biojava-71 with 8 faults, 26 failures, 612 passing Test Cases and 1811 relevant methods.
Building next faulty Version biojava-72 with 8 faults, 61 failures, 581 passing Test Cases and 2762 relevant methods.
Building next faulty Version biojava-73 with 8 faults, 59 failures, 629 passing Test Cases and 2822 relevant methods.
Building next faulty Version biojava-74 with 8 faults, 36 failures, 604 passing Test Cases and 2649 relevant methods.
Building next faulty Version biojava-75 with 8 faults, 25 failures, 613 passing Test Cases and 2243 relevant methods.
Building next faulty Version biojava-76 with 8 faults, 67 failures, 578 passing Test Cases and 2921 relevant methods.
Building next faulty Version biojava-77 with 8 faults, 21 failures, 623 passing Test Cases and 2239 relevant methods.
Building next faulty Version biojava-78 with 8 faults, 70 failures, 575 passing Test Cases and 2581 relevant methods.
Building next faulty Version biojava-79 with 8 faults, 58 failures, 587 passing Test Cases and 2903 relevant methods.
Building next faulty Version biojava-80 with 8 faults, 66 failures, 585 passing Test Cases and 2932 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-8.xml
Building next faulty Version biojava-81 with 9 faults, 30 failures, 615 passing Test Cases and 2297 relevant methods.
Building next faulty Version biojava-82 with 9 faults, 81 failures, 564 passing Test Cases and 2371 relevant methods.
Building next faulty Version biojava-83 with 9 faults, 56 failures, 582 passing Test Cases and 2795 relevant methods.
Building next faulty Version biojava-84 with 9 faults, 53 failures, 627 passing Test Cases and 2097 relevant methods.
Building next faulty Version biojava-85 with 9 faults, 101 failures, 544 passing Test Cases and 2940 relevant methods.
Building next faulty Version biojava-86 with 9 faults, 104 failures, 579 passing Test Cases and 3037 relevant methods.
Building next faulty Version biojava-87 with 9 faults, 110 failures, 531 passing Test Cases and 3253 relevant methods.
Building next faulty Version biojava-88 with 9 faults, 58 failures, 588 passing Test Cases and 3010 relevant methods.
Building next faulty Version biojava-89 with 9 faults, 23 failures, 621 passing Test Cases and 2588 relevant methods.
Building next faulty Version biojava-90 with 9 faults, 56 failures, 627 passing Test Cases and 2227 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-9.xml
Building next faulty Version biojava-91 with 10 faults, 54 failures, 590 passing Test Cases and 2602 relevant methods.
Building next faulty Version biojava-92 with 10 faults, 82 failures, 601 passing Test Cases and 3181 relevant methods.
Building next faulty Version biojava-93 with 10 faults, 58 failures, 635 passing Test Cases and 2895 relevant methods.
Building next faulty Version biojava-94 with 10 faults, 67 failures, 617 passing Test Cases and 2596 relevant methods.
Building next faulty Version biojava-95 with 10 faults, 37 failures, 603 passing Test Cases and 2419 relevant methods.
Building next faulty Version biojava-96 with 10 faults, 71 failures, 572 passing Test Cases and 2673 relevant methods.
Building next faulty Version biojava-97 with 10 faults, 39 failures, 600 passing Test Cases and 2674 relevant methods.
Building next faulty Version biojava-98 with 10 faults, 31 failures, 607 passing Test Cases and 2551 relevant methods.
Building next faulty Version biojava-99 with 10 faults, 40 failures, 600 passing Test Cases and 2847 relevant methods.
Building next faulty Version biojava-100 with 10 faults, 78 failures, 562 passing Test Cases and 2490 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-10.xml
Building next faulty Version biojava-101 with 11 faults, 57 failures, 589 passing Test Cases and 2803 relevant methods.
Building next faulty Version biojava-102 with 11 faults, 92 failures, 588 passing Test Cases and 2799 relevant methods.
Building next faulty Version biojava-103 with 11 faults, 99 failures, 546 passing Test Cases and 3478 relevant methods.
Building next faulty Version biojava-104 with 11 faults, 26 failures, 662 passing Test Cases and 2763 relevant methods.
Building next faulty Version biojava-105 with 11 faults, 65 failures, 617 passing Test Cases and 2924 relevant methods.
Building next faulty Version biojava-106 with 11 faults, 36 failures, 604 passing Test Cases and 2569 relevant methods.
Building next faulty Version biojava-107 with 11 faults, 53 failures, 592 passing Test Cases and 2934 relevant methods.
Building next faulty Version biojava-108 with 11 faults, 50 failures, 632 passing Test Cases and 2681 relevant methods.
Building next faulty Version biojava-109 with 11 faults, 60 failures, 586 passing Test Cases and 2889 relevant methods.
Building next faulty Version biojava-110 with 11 faults, 43 failures, 598 passing Test Cases and 2084 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-11.xml
Building next faulty Version biojava-111 with 12 faults, 30 failures, 611 passing Test Cases and 2505 relevant methods.
Building next faulty Version biojava-112 with 12 faults, 40 failures, 609 passing Test Cases and 2683 relevant methods.
Building next faulty Version biojava-113 with 12 faults, 56 failures, 629 passing Test Cases and 2789 relevant methods.
Building next faulty Version biojava-114 with 12 faults, 44 failures, 600 passing Test Cases and 2898 relevant methods.
Building next faulty Version biojava-115 with 12 faults, 80 failures, 558 passing Test Cases and 2973 relevant methods.
Building next faulty Version biojava-116 with 12 faults, 86 failures, 555 passing Test Cases and 3040 relevant methods.
Building next faulty Version biojava-117 with 12 faults, 136 failures, 550 passing Test Cases and 3131 relevant methods.
Building next faulty Version biojava-118 with 12 faults, 170 failures, 469 passing Test Cases and 3286 relevant methods.
Building next faulty Version biojava-119 with 12 faults, 32 failures, 616 passing Test Cases and 2512 relevant methods.
Building next faulty Version biojava-120 with 12 faults, 55 failures, 586 passing Test Cases and 2935 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\biojava\pit-data\faulty-versions-12.xml
Building next faulty Version biojava-121 with 13 faults, 42 failures, 603 passing Test Cases and 3054 relevant methods.
Building next faulty Version biojava-122 with 13 faults, 355 failures, 329 passing Test Cases and 3825 relevant methods.
Building next faulty Version biojava-123 with 13 faults, 56 failures, 585 passing Test Cases and 2739 relevant methods.
