Program started...
Building Faulty versions for project javaparser
Building next faulty Version javaparser-56 with 6 faults, 120 failures, 949 passing Test Cases and 2590 relevant methods.
Building next faulty Version javaparser-57 with 6 faults, 90 failures, 979 passing Test Cases and 2301 relevant methods.
Building next faulty Version javaparser-58 with 6 faults, 123 failures, 946 passing Test Cases and 2313 relevant methods.
Building next faulty Version javaparser-59 with 6 faults, 84 failures, 985 passing Test Cases and 1453 relevant methods.
Building next faulty Version javaparser-60 with 6 faults, 253 failures, 816 passing Test Cases and 2462 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-6.xml
Building next faulty Version javaparser-61 with 7 faults, 127 failures, 942 passing Test Cases and 2599 relevant methods.
Building next faulty Version javaparser-62 with 7 faults, 112 failures, 957 passing Test Cases and 2525 relevant methods.
Building next faulty Version javaparser-63 with 7 faults, 41 failures, 1028 passing Test Cases and 2384 relevant methods.
Building next faulty Version javaparser-64 with 7 faults, 66 failures, 1003 passing Test Cases and 2450 relevant methods.
Building next faulty Version javaparser-65 with 7 faults, 86 failures, 983 passing Test Cases and 2239 relevant methods.
Building next faulty Version javaparser-66 with 7 faults, 124 failures, 945 passing Test Cases and 2515 relevant methods.
Building next faulty Version javaparser-67 with 7 faults, 53 failures, 1016 passing Test Cases and 2337 relevant methods.
Building next faulty Version javaparser-68 with 7 faults, 200 failures, 869 passing Test Cases and 2591 relevant methods.
Building next faulty Version javaparser-69 with 7 faults, 121 failures, 948 passing Test Cases and 2593 relevant methods.
Building next faulty Version javaparser-70 with 7 faults, 516 failures, 553 passing Test Cases and 2863 relevant methods.
INFO: Writing all faulty versions to file C:\study\SWDiag\sharedFolder_UbuntuVM\MA\pit_data\notyetanalyzed\javaparser\pit-data\faulty-versions-7.xml
Building next faulty Version javaparser-71 with 8 faults, 72 failures, 997 passing Test Cases and 2419 relevant methods.
